"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"83","Michigan","Alcona County","Harper Woods",48225,11,373,42.4319065,-82.9125985,98362,300000,420.661394101877,855.91581769437,435.267024128686,0.0402144772117962,0.0294906166219839,0.235924932975871,3e+05,"High",-228491.324543611
"84","Michigan","Alcona County","Harper Woods",48225,11,373,42.4453962,-82.9294045,48427,43717,420.661394101877,855.91581769437,435.267024128686,0.0402144772117962,0.0294906166219839,0.235924932975871,43717,"Medium",27791.6754563895
"86","Michigan","Alcona County","Grosse Pointe Woods",48236,400,697,42.4468817,-82.9024829,82361,73948,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,73948,"Medium",-2439.32454361055
"87","Michigan","Alcona County","Brighton",48114,7,59,42.569429,-83.7792848,106416,96793,424.4,877.6,453.2,0.11864406779661,0.11864406779661,0.355932203389831,96793,"High",-25284.3245436105
"88","Michigan","Alcona County","Hamtramck",48212,69,436,42.3946972,-83.0632357,39097,37844,443.263532110092,880.463532110092,437.267660550459,0.208715596330275,0.158256880733945,0.25,37844,"Medium",33664.6754563895
"89","Michigan","Alcona County","Hamtramck",48212,69,436,42.3879631,-83.0514612,31049,23113,443.263532110092,880.463532110092,437.267660550459,0.208715596330275,0.158256880733945,0.25,23113,"Low",48395.6754563895
"91","Michigan","Alcona County","Redford",48240,16,245,42.4375474,-83.2984544,46632,45582,406.458367346939,830.209387755102,423.744897959184,0.0816326530612245,0.0653061224489796,0.191836734693878,45582,"Medium",25926.6754563895
"92","Michigan","Alcona County","Redford",48240,16,245,42.4208059,-83.306328,49855,300000,406.458367346939,830.209387755102,423.744897959184,0.0816326530612245,0.0653061224489796,0.191836734693878,3e+05,"High",-228491.324543611
"93","Michigan","Alcona County","Redford",48239,31,272,42.4063569,-83.3057437,59704,42909,434.498529411765,892.964705882353,458.466176470588,0.117647058823529,0.113970588235294,0.371323529411765,42909,"Medium",28599.6754563895
"94","Michigan","Alcona County","Redford",48239,31,272,42.3824901,-83.2940908,46945,24478,434.498529411765,892.964705882353,458.466176470588,0.117647058823529,0.113970588235294,0.371323529411765,24478,"Low",47030.6754563895
"95","Michigan","Alcona County","Redford",48239,31,272,42.3676767,-83.270782,57145,55264,434.498529411765,892.964705882353,458.466176470588,0.117647058823529,0.113970588235294,0.371323529411765,55264,"Medium",16244.6754563895
"96","Michigan","Alcona County","Livonia",48152,271,563,42.4340683,-83.3459836,83795,300000,531.933392539965,1060.31740674956,528.325222024867,0.516873889875666,0.481349911190053,0.674955595026643,3e+05,"High",-228491.324543611
"97","Michigan","Alcona County","Livonia",48152,271,563,42.4182116,-83.403926,115649,109614,531.933392539965,1060.31740674956,528.325222024867,0.516873889875666,0.481349911190053,0.674955595026643,109614,"High",-38105.3245436105
"98","Michigan","Alcona County","Howell",48843,207,551,42.5831664,-83.8796284,46051,37596,505.7,1010.6,504.9,0.413793103448276,0.37568058076225,0.618874773139746,37596,"Medium",33912.6754563895
"99","Michigan","Alcona County","Livonia",48152,271,563,42.4243877,-83.3257127,85192,300000,531.933392539965,1060.31740674956,528.325222024867,0.516873889875666,0.481349911190053,0.674955595026643,3e+05,"High",-228491.324543611
"103","Michigan","Alcona County","Plymouth",48170,6,58,42.3621073,-83.4233168,83960,300000,432.772413793104,890.368965517241,457.596551724138,0.103448275862069,0.103448275862069,0.310344827586207,3e+05,"High",-228491.324543611
"104","Michigan","Alcona County","Livonia",48150,278,671,42.3576134,-83.3617234,78375,79998,516.732786885246,1030.84590163934,514.06393442623,0.447093889716841,0.414307004470939,0.59016393442623,79998,"High",-8489.32454361055
"105","Michigan","Alcona County","Livonia",48150,278,671,42.3585733,-83.3227459,66124,55210,516.732786885246,1030.84590163934,514.06393442623,0.447093889716841,0.414307004470939,0.59016393442623,55210,"Medium",16298.6754563895
"107","Michigan","Alcona County","Plymouth",48170,6,58,42.3840333,-83.4515677,57545,53581,432.772413793104,890.368965517241,457.596551724138,0.103448275862069,0.103448275862069,0.310344827586207,53581,"Medium",17927.6754563895
"108","Michigan","Alcona County","Plymouth",48170,6,58,42.359806,-83.4930025,120177,300000,432.772413793104,890.368965517241,457.596551724138,0.103448275862069,0.103448275862069,0.310344827586207,3e+05,"High",-228491.324543611
"110","Michigan","Alcona County","Plymouth",48170,6,58,42.364366,-83.4703215,92295,300000,432.772413793104,890.368965517241,457.596551724138,0.103448275862069,0.103448275862069,0.310344827586207,3e+05,"High",-228491.324543611
"111","Michigan","Alcona County","Canton",48187,920,1490,42.3464023,-83.4561521,47529,42806,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,42806,"Medium",28702.6754563895
"112","Michigan","Alcona County","Canton",48187,920,1490,42.327415,-83.4682,75887,73261,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,73261,"Medium",-1752.32454361055
"113","Michigan","Alcona County","Canton",48187,920,1490,42.3186693,-83.4733574,96331,300000,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,3e+05,"High",-228491.324543611
"116","Michigan","Alcona County","Westland",48185,88,394,42.3428802,-83.4241663,60827,51421,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,51421,"Medium",20087.6754563895
"118","Michigan","Alcona County","Wayne",48184,54,395,42.2698491,-83.4128156,48289,37241,439.610886075949,903.156962025316,463.557721518987,0.144303797468354,0.136708860759494,0.374683544303797,37241,"Medium",34267.6754563895
"119","Michigan","Alcona County","Inkster",48141,0,13,42.2730855,-83.3326751,61343,47241,375.4,779.2,403.8,0,0,0,47241,"Medium",24267.6754563895
"121","Michigan","Alcona County","Westland",48185,88,394,42.347193,-83.3599795,75505,300000,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,3e+05,"High",-228491.324543611
"122","Michigan","Alcona County","Westland",48185,88,394,42.3315898,-83.3759669,31761,18099,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,18099,"Low",53409.6754563895
"125","Michigan","Alcona County","Garden City",48135,63,321,42.3367163,-83.3216202,55960,48019,451.626168224299,918.508099688473,466.881931464175,0.202492211838006,0.196261682242991,0.461059190031153,48019,"Medium",23489.6754563895
"126","Michigan","Alcona County","Garden City",48135,63,321,42.3213038,-83.3641298,86622,86076,451.626168224299,918.508099688473,466.881931464175,0.202492211838006,0.196261682242991,0.461059190031153,86076,"High",-14567.3245436105
"127","Michigan","Alcona County","Garden City",48135,63,321,42.3213819,-83.3210237,54350,300000,451.626168224299,918.508099688473,466.881931464175,0.202492211838006,0.196261682242991,0.461059190031153,3e+05,"High",-228491.324543611
"128","Michigan","Alcona County","Inkster",48141,0,13,42.3036706,-83.3098851,44930,37481,375.4,779.2,403.8,0,0,0,37481,"Medium",34027.6754563895
"129","Michigan","Alcona County","Inkster",48141,0,13,42.2808955,-83.3337722,43447,32790,375.4,779.2,403.8,0,0,0,32790,"Low",38718.6754563895
