OBJECTID,GEOID10,MathNumAssessed,MathNumReady,AllSbjtNumReady,AllSbjtNumAssessed,EBRWNumAssessed,EBRWNumReady,FinalMathAveScore,FinalAllSbjtAveScore,FinalEWBRWAveScore,MathPctReady,AllSbjtPctReady,EBRWPctReady,Shape__Area,Shape__Length,ZCTA
63,2648128,90,60,55,90,90,72,556.666666666667,1102.65555555556,546.027777777778,0.666666666666667,0.611111111111111,0.8,67351262.4189453,56021.8253804226,48128
64,2648195,320,47,46,320,320,139,442.79625,916.4475,473.65625,0.146875,0.14375,0.434375,190348453.847412,57478.8494562434,48195
65,2648192,308,69,65,308,308,166,471.1,964.4,493.2,0.224025974025974,0.211038961038961,0.538961038961039,151745371.079102,67308.190393757,48192
66,2648187,1490,958,920,1490,1490,1164,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,504199417.114014,95169.0796552254,48187
67,2648225,373,15,11,373,373,88,420.661394101877,855.91581769437,435.267024128686,0.0402144772117962,0.0294906166219839,0.235924932975871,73776795.5073242,42611.6637975598,48225
68,2648218,192,13,0,192,192,30,412.7,832.6,419.9,0.0677083333333333,0,0.15625,77064671.5529785,48495.8789201814,48218
69,2648647,47,18,18,47,47,37,500.4,1042.6,542.1,0.382978723404255,0.382978723404255,0.787234042553192,3994624645.99512,781707.261765787,48647
70,2649707,279,98,91,279,279,165,495.131182795699,1005.34050179211,510.209318996416,0.351254480286738,0.326164874551971,0.591397849462366,7197871788.03418,663613.744429146,49707
71,2649729,25,0,0,25,25,13,456.4,944,487.6,0,0,0.52,1201433697.38184,257517.18900669,49729
72,2649730,12,0,0,12,12,0,477.5,967.5,490,0,0,0,2618573056.52246,419706.322350322,49730
73,2648763,103,35,30,103,103,58,487.9,988.2,500.3,0.339805825242718,0.29126213592233,0.563106796116505,2728095726.99707,454730.567158365,48763
74,2649946,59,18,17,59,59,34,475.4,966.4,491,0.305084745762712,0.288135593220339,0.576271186440678,8336436039.50781,595909.62838272,49946
75,2648740,,,,,,,,,,,,,2176297608.47461,363888.810612807,48740
76,2648762,,,,,,,,,,,,,1260396634.47656,365090.807579079,48762
77,2649335,,,,,,,,,,,,,26433791.253418,26189.0074678001,49335
78,2649766,,,,,,,,,,,,,1469598997.7002,311492.063024033,49766
79,2649713,,,,,,,,,,,,,2789120197.88184,403892.925858973,49713
80,2649073,,,,,,,,,,,,,1967882358.87646,246887.309097267,49073
81,2649650,,,,,,,,,,,,,742383100.589844,165118.495712087,49650
82,2649683,,,,,,,,,,,,,2412517472.79199,355001.096660923,49683
83,2649117,,,,,,,,,,,,,589776620.144531,161859.030876311,49117
84,2649102,,,,,,,,,,,,,449397026.130737,105205.882574676,49102
85,2649084,,,,,,,,,,,,,526067.923095703,2883.42693928416,49084
86,2649274,,,,,,,,,,,,,1688143655.62769,346352.738073711,49274
87,2649089,,,,,,,,,,,,,1094385155.50598,219113.968660174,49089
88,2649755,,,,,,,,,,,,,2952638435.44727,338448.587928647,49755
89,2649768,,,,,,,,,,,,,5484765741.82422,404129.643642846,49768
90,2648625,,,,,,,,,,,,,6805872054.49609,606680.762049101,48625
91,2648873,,,,,,,,,,,,,938822452.071289,214209.409658316,48873
92,2648831,,,,,,,,,,,,,2035719223.30371,318605.101026238,48831
93,2648845,,,,,,,,,,,,,690989481.710449,210501.740181472,48845
94,2649815,,,,,,,,,,,,,3339904023.92188,397738.642193317,49815
95,2648861,,,,,,,,,,,,,655692729.760742,159305.876077543,48861
96,2648554,,,,,,,,,,,,,5073391.35351563,8905.40210313063,48554
97,2648449,,,,,,,,,,,,,714665929.5625,152750.416569491,48449
98,2648807,,,,,,,,,,,,,779432589.348633,180620.387840524,48807
99,2648615,,,,,,,,,,,,,1610856576.44971,313541.524167309,48615
100,2648877,,,,,,,,,,,,,950640121.057617,275144.501430975,48877
101,2649233,,,,,,,,,,,,,624260899.857666,168341.430956457,49233
102,2649917,,,,,,,,,,,,,48121188.3769531,42347.88016698,49917
103,2649913,,,,,,,,,,,,,2010616770.9707,384795.328688641,49913
104,2649961,,,,,,,,,,,,,1698005093.70313,289847.221122202,49961
105,2648759,,,,,,,,,,,,,1433592219.93066,283953.53197666,48759
106,2648731,,,,,,,,,,,,,1357829341.52539,252901.977608773,48731
107,2648725,,,,,,,,,,,,,1148365646.2793,260482.867299467,48725
108,2648825,,,,,,,,,,,,,35340647.6831055,30639.0270212765,48825
109,2648743,,,,,,,,,,,,,57877433.6660156,39433.8362906343,48743
110,2649915,,,,,,,,,,,,,25121015.5898438,28284.8807692922,49915
111,2654554,,,,,,,,,,,,,57016392.046875,38413.1013404111,54554
112,2649277,,,,,,,,,,,,,1005342501.88037,232474.213733705,49277
113,2649656,,,,,,,,,,,,,3540986823.0791,425909.881912547,49656
114,2649309,,,,,,,,,,,,,3492927641.7334,392100.819733817,49309
115,2649688,,,,,,,,,,,,,2704455880.72559,335041.409791844,49688
116,2648727,,,,,,,,,,,,,687071936.105957,155249.08114461,48727
117,2649287,,,,,,,,,,,,,800466652.798828,177739.029130814,49287
118,2649238,,,,,,,,,,,,,793249671.150879,181431.602845419,49238
119,2649719,,,,,,,,,,,,,2269202576.52148,329295.267162949,49719
120,2648315,,,,,,,,,,,,,360411852.666504,88027.2604060708,48315
121,2649833,,,,,,,,,,,,,244709534.886719,127117.497912968,49833
122,2649332,,,,,,,,,,,,,1359994810.21973,312615.787167773,49332
