"Zip_Code","Median","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore"
48122,28904,430.149377593361,883.247302904564,453.097925311203
48218,26118,412.7,832.6,419.9
48229,18017,386.8,791,404.3
48228,98362,375.38672985782,779.056872037915,403.670142180095
48192,54858,471.1,964.4,493.2
48192,24015,471.1,964.4,493.2
48195,3e+05,442.79625,916.4475,473.65625
48195,38481,442.79625,916.4475,473.65625
48195,32683,442.79625,916.4475,473.65625
48180,40174,440.523076923077,904.264170040486,463.741093117409
48044,61350,527.3,1046.9,519.5
48180,31558,440.523076923077,904.264170040486,463.741093117409
48180,45730,440.523076923077,904.264170040486,463.741093117409
48180,36933,440.523076923077,904.264170040486,463.741093117409
48180,45131,440.523076923077,904.264170040486,463.741093117409
48180,18735,440.523076923077,904.264170040486,463.741093117409
48174,29160,446.878651685393,904.105617977528,457.226966292135
48111,51288,462.3,948.6,486.3
48111,36776,462.3,948.6,486.3
48164,60179,505.6,1028,522.4
48164,69780,505.6,1028,522.4
48316,55115,548.7,1089.9,541.2
48174,85026,446.878651685393,904.105617977528,457.226966292135
48183,35280,514.6,1028.5,513.9
48183,55145,514.6,1028.5,513.9
48183,66230,514.6,1028.5,513.9
48193,20431,514.8,1052.2,537.4
48138,59281,541.3,1091.2,549.9
48173,66030,485.45724137931,991.391034482759,505.933793103448
48134,62435,506.888170055453,1016.82643253235,509.938262476895
49423,81946,494.88,1001.92630136986,506.99095890411
48313,67100,519.75290957923,1032.85971351835,513.085586392122
49601,46124,498.672222222222,1008.20925925926,509.537037037037
49022,20048,372.428275862069,764.97724137931,392.572413793103
48312,54697,468.4,957.4,489
48312,55252,468.4,957.4,489
48036,75295,383.346666666667,801.996666666667,418.686666666667
48035,49331,411.058426966292,847.175842696629,436.062921348315
48043,31978,402.9,835.7,432.9
48082,61159,510.97890625,991.11015625,480.13125
48081,44048,492.9,1004.6,511.7
48080,56446,433,898.7,465.7
48066,38812,415.7,878.9,463.2
48066,49430,415.7,878.9,463.2
49127,74313,526.3,1054.4,528
48021,35258,405.4,829,423.6
48093,65901,487.4,998.5,511.1
48088,40298,458.954372623574,928.838783269962,469.884410646388
48091,44973,436.109426229508,887.271721311476,451.162295081967
48089,22996,398.474251497006,813.625149700599,415.061077844311
48310,3e+05,368.8,769.6,400.8
49619,30887,481.6,991,509.4
49855,23290,507.962105263158,1033.43719298246,525.387368421053
49849,29462,501.773529411765,1017.95441176471,516.180882352941
49405,39605,480,952.7,472.7
49038,54746,462.3,949.8,487.4
49340,42076,478.676923076923,952.769230769231,474.092307692308
48640,72395,549.975884955752,1096.07013274336,546.094247787611
48640,66949,549.975884955752,1096.07013274336,546.094247787611
49657,40563,480.2,990.6,510.4
48161,66210,468.882222222222,960.674444444444,491.792222222222
48161,40779,468.882222222222,960.674444444444,491.792222222222
49267,59468,482.3,982.1,499.8
48891,43322,431.136363636364,882.75,451.613636363636
49128,48760,463.9,957.8,493.9
49442,24095,452.655223880597,918.984328358209,466.329104477612
49445,55346,468.190909090909,956.89375,488.702840909091
49441,47755,466.839166666667,949.796666666667,482.9575
49425,43414,429.127272727273,881.518181818182,452.472727272727
49437,0,482.2,972.9,490.7
49327,41102,490.8,991.6,500.8
48371,65577,507.594347826087,1028.49,520.989130434783
48346,56350,525.625736434108,1055.16434108527,529.442015503876
48360,105007,537.85540765391,1085.24542429285,547.390016638935
49120,34922,479.800706713781,965.242756183746,485.509187279152
48393,114558,397.6,820.9,423.3
48375,65151,602.077486910995,1184.75253054101,582.675043630017
48326,53384,503.6,1009.2,505.6
48328,32346,438.951,894.6935,455.7425
48329,66021,475,963.6,488.6
48328,55834,438.951,894.6935,455.7425
48302,115001,553,1116.7,563.7
49082,56966,480.8,971.1,490.3
48009,165979,595.2,1176.3,581.1
48323,64983,531.1,1062.2,531.1
48025,99486,556.195238095238,1115.2380952381,558.947619047619
48075,64996,430.8,867.848101265823,437.105063291139
48334,63076,539.871278458844,1081.88003502627,542.008756567426
48336,41129,517.848630136986,1046.02123287671,528.182876712329
48237,63150,392.709972299169,811.626038781163,418.916066481995
49015,30669,482.803399433428,966.791501416431,483.997450424929
48220,54636,430.286111111111,883.60462962963,453.318518518519
48071,24121,454.408445945946,925.584121621622,471.199662162162
48073,63603,540.95,1084.08356164384,543.133561643836
48071,72072,454.408445945946,925.584121621622,471.199662162162
48306,3e+05,596.598081534772,1178.99040767386,582.392326139089
48306,143225,596.598081534772,1178.99040767386,582.392326139089
48307,56041,457.3,911.3,454
48098,81529,612.14375,1197.466015625,585.23203125
49015,78282,482.803399433428,966.791501416431,483.997450424929
49415,66299,475.260606060606,961.939393939394,486.678787878788
49417,90142,518.098949579832,1047.23193277311,529.039075630252
49401,64026,526.379775280899,1049.52696629213,523.240449438202
49464,69075,526.720930232558,1055.19186046512,528.470930232558
49401,58241,526.379775280899,1049.52696629213,523.240449438202
49765,49465,474.9,952.9,478
48601,27339,372.739024390244,771.117073170732,398.378048780488
48602,33477,438.961083743842,902.310344827586,463.356157635468
48603,36971,496.890855457227,1012.13067846608,515.23982300885
48601,39770,372.739024390244,771.117073170732,398.378048780488
48609,53733,503.3,1017.7,514.3
48060,53757,443.621348314607,910.120505617978,466.504213483146
48074,46746,441.122580645161,915.809677419355,474.687096774194
48023,53475,503.5,1008.1,504.6
49224,34907,375.302127659574,790.634042553192,415.331914893617
49091,35992,474.1,950.2,476.1
48867,41699,470.548333333333,964.404285714286,493.86380952381
48817,40730,481,988.6,507.6
48768,43282,445.277419354839,918.402150537634,473.124731182796
49090,37778,470.95,968.942857142857,497.992857142857
49079,44081,482.188165680473,1000.71893491124,518.530769230769
49090,60653,470.95,968.942857142857,497.992857142857
48104,58461,549.489944134078,1117.25754189944,567.767597765363
49120,46722,479.800706713781,965.242756183746,485.509187279152
48103,72794,568.410204081633,1141.1600240096,572.749819927971
48104,68695,549.489944134078,1117.25754189944,567.767597765363
48198,87141,583.529770992366,1196.61450381679,613.084732824428
48197,28964,445.098770491803,907.836755646817,463.056262833676
48198,36293,583.529770992366,1196.61450381679,613.084732824428
48103,114222,568.410204081633,1141.1600240096,572.749819927971
48160,3e+05,522.5,1050.4,527.9
48118,82587,591.7,1140.5,548.8
48168,85099,605.9,1206,600.1
48224,25938,370.749221183801,765.714330218069,394.965109034268
49712,58886,521.772277227723,1040.92178217822,519.149504950495
48224,18907,370.749221183801,765.714330218069,394.965109034268
48234,19016,380.2,777.7,397.5
48234,33252,380.2,777.7,397.5
48214,15241,380.830985915493,777.07323943662,396.178873239437
48214,22829,380.830985915493,777.07323943662,396.178873239437
48207,20157,415.265945945946,863.566486486486,448.333243243243
48207,18115,415.265945945946,863.566486486486,448.333243243243
49720,31777,489.5,1006.3,513.5
48208,36057,390.190540540541,796.040540540541,405.793243243243
48201,10457,459.670711785298,944.230805134189,484.571528588098
48218,16029,412.7,832.6,419.9
48210,21769,438.858858858859,887.266366366366,448.407507507508
48206,14581,377.4,760.4,383
48227,22134,431.9,890.7,458.8
48126,23798,468.227647867951,939.870976616231,471.643328748281
48235,26539,460.555021834061,934.710480349345,474.139082969432
49721,0,505.2,1027,521.7
48220,47892,430.286111111111,883.60462962963,453.318518518519
48221,29576,402.1,814.2,412.2
48235,21720,460.555021834061,934.710480349345,474.139082969432
48219,38025,396.445192307692,820.557211538462,424.156730769231
48227,22715,431.9,890.7,458.8
48223,18237,493.8,904.7,411
48228,22948,375.38672985782,779.056872037915,403.670142180095
48228,29231,375.38672985782,779.056872037915,403.670142180095
48236,138985,554.05824964132,1119.89569583931,565.837446197991
48236,109040,554.05824964132,1119.89569583931,565.837446197991
48239,50714,434.498529411765,892.964705882353,458.466176470588
48152,42775,531.933392539965,1060.31740674956,528.325222024867
48170,101209,432.772413793104,890.368965517241,457.596551724138
48187,87971,572.475100671141,1129.91899328859,557.414026845638
48187,174312,572.475100671141,1129.91899328859,557.414026845638
48185,58841,464.009137055838,944.095685279188,480.081218274112
48622,34842,488.7,985.6,496.9
48184,40621,439.610886075949,903.156962025316,463.557721518987
48185,35097,464.009137055838,944.095685279188,480.081218274112
48135,47079,451.626168224299,918.508099688473,466.881931464175
48141,26920,375.4,779.2,403.8
48127,42254,490.659955752212,975.438137472284,484.334146341463
48127,50201,490.659955752212,975.438137472284,484.334146341463
48126,32654,468.227647867951,939.870976616231,471.643328748281
48124,51795,497.590599455041,1004.11416893733,506.485286103542
48101,61239,509.511538461538,1021.33531468531,511.823776223776
48146,48828,455.6,919.5,463.9
48229,24317,386.8,791,404.3
48192,57694,471.1,964.4,493.2
48125,41727,474.872916666667,960.0921875,485.2640625
48180,47448,440.523076923077,904.264170040486,463.741093117409
48174,37613,446.878651685393,904.105617977528,457.226966292135
48111,46368,462.3,948.6,486.3
48174,82385,446.878651685393,904.105617977528,457.226966292135
48183,67292,514.6,1028.5,513.9
48173,65310,485.45724137931,991.391034482759,505.933793103448
48218,0,412.7,832.6,419.9
49601,43125,498.672222222222,1008.20925925926,509.537037037037
49328,51430,519,1031.4,512.3
49010,42435,477.414285714286,967.171428571428,489.678571428571
49078,33869,496.298285714286,1005.156,508.767428571429
49423,50269,494.88,1001.92630136986,506.99095890411
49707,46939,495.131182795699,1005.34050179211,510.209318996416
49707,36297,495.131182795699,1005.34050179211,510.209318996416
49707,43639,495.131182795699,1005.34050179211,510.209318996416
49622,60242,469.5,980.5,511.1
49629,48910,555.7,1109.5,553.8
48658,18716,466.8,942.8,476
49946,39341,475.4,966.4,491
49058,74374,492.5,992.9,500.4
49837,43268,505.9,1015.4,509.5
49046,3e+05,474.629411764706,951.758823529412,477.129411764706
49017,48898,443.156930693069,908.625742574257,465.464851485149
49058,47770,492.5,992.9,500.4
48708,32954,464.901481481481,945.236666666667,480.335185185185
48708,23877,464.901481481481,945.236666666667,480.335185185185
48706,31022,484.953711790393,978.44192139738,493.488209606987
48732,81090,479.583673469388,983,503.416326530612
48708,50343,464.901481481481,945.236666666667,480.335185185185
48611,56146,508.9,1028.7,519.8
49423,39306,494.88,1001.92630136986,506.99095890411
48706,29009,484.953711790393,978.44192139738,493.488209606987
49870,48017,476.6,977.6,501
48650,48884,477.9,962,484.2
49616,39061,393.3,810,416.7
49022,14828,372.428275862069,764.97724137931,392.572413793103
49085,60372,563.1,1119.7,556.5
49127,53863,526.3,1054.4,528
49022,36354,372.428275862069,764.97724137931,392.572413793103
49022,20041,372.428275862069,764.97724137931,392.572413793103
49038,54437,462.3,949.8,487.4
48911,37095,360.9,746.2,385.3
49098,41020,479.018811881188,985.130693069307,506.111881188119
49106,71984,548.1,1086.6,538.5
49128,40921,463.9,957.8,493.9
49107,35318,496.337037037037,997.596296296296,501.259259259259
49120,42969,479.800706713781,965.242756183746,485.509187279152
49120,40656,479.800706713781,965.242756183746,485.509187279152
49036,60567,491.08717948718,988.481623931624,497.394444444444
49082,38336,480.8,971.1,490.3
49036,58496,491.08717948718,988.481623931624,497.394444444444
49036,52462,491.08717948718,988.481623931624,497.394444444444
49017,32734,443.156930693069,908.625742574257,465.464851485149
49017,24577,443.156930693069,908.625742574257,465.464851485149
49015,48287,482.803399433428,966.791501416431,483.997450424929
49015,39490,482.803399433428,966.791501416431,483.997450424929
49014,69224,481,979.8,498.8
49017,43142,443.156930693069,908.625742574257,465.464851485149
49015,3e+05,482.803399433428,966.791501416431,483.997450424929
48827,34658,485.094339622641,982.2,497.105660377358
49092,40680,473.2,950.5,477.4
49224,57445,375.302127659574,790.634042553192,415.331914893617
49076,49840,505.6,1017.2,511.6
49068,35616,524.6,1061.4,536.8
49031,58214,454.4,940,485.6
49112,55822,547.7,1095,547.3
49047,39660,453.220289855072,929.666666666667,476.446376811594
49031,42463,454.4,940,485.6
49770,33480,520.533333333333,1054.77235772358,534.239024390244
49712,56866,521.772277227723,1040.92178217822,519.149504950495
49721,45258,505.2,1027,521.7
49721,36543,505.2,1027,521.7
49765,43006,474.9,952.9,478
49783,33592,483.285561497326,984.680748663102,501.395187165775
49783,29890,483.285561497326,984.680748663102,501.395187165775
49780,51361,490.7,1002.6,511.9
48622,38694,488.7,985.6,496.9
48617,46467,529.4,1065.3,535.9
48504,30987,395.717045454545,820.601136363636,424.884090909091
48808,35944,503.7,1044.4,540.8
48906,28914,415.344025157233,856.747169811321,441.403144654088
48835,73620,511.7,1038.6,526.9
48879,39899,501.768281938326,1029.05462555066,527.286343612335
48823,19250,541.6,1099.3,557.7
49880,41401,414.5,864.5,450
49837,53900,505.9,1015.4,509.5
49829,20111,491.944444444444,993.498148148148,501.553703703704
48506,19885,475.6,964.7,489.1
49870,62951,476.6,977.6,501
49802,42312,488.9,995.5,506.6
48917,48397,431.737912087912,888.779945054945,457.082967032967
48837,3e+05,503.5,1031.5,528
48837,52569,503.5,1031.5,528
48837,71222,503.5,1031.5,528
49021,43473,462.8,941.5,478.7
48813,66380,479.767512690355,974.678680203046,494.917258883249
48827,3e+05,485.094339622641,982.2,497.105660377358
48503,31360,450,922.6,472.6
49769,51153,485.5,987.6,502.2
49770,46544,520.533333333333,1054.77235772358,534.239024390244
49770,49038,520.533333333333,1054.77235772358,534.239024390244
48504,22419,395.717045454545,820.601136363636,424.884090909091
48505,26599,369.521951219512,754.024390243902,384.50243902439
48504,38138,395.717045454545,820.601136363636,424.884090909091
48505,12319,369.521951219512,754.024390243902,384.50243902439
48503,24527,450,922.6,472.6
48504,18990,395.717045454545,820.601136363636,424.884090909091
48506,17672,475.6,964.7,489.1
48420,45089,462.63950617284,949.957201646091,487.317695473251
48506,33726,475.6,964.7,489.1
48507,3e+05,438.618235294118,905.52,466.910588235294
48503,26342,450,922.6,472.6
48507,35559,438.618235294118,905.52,466.910588235294
48503,18652,450,922.6,472.6
48420,56227,462.63950617284,949.957201646091,487.317695473251
48505,3e+05,369.521951219512,754.024390243902,384.50243902439
48433,38726,522.5,1047.3,524.8
48433,29461,522.5,1047.3,524.8
48433,59560,522.5,1047.3,524.8
48433,40074,522.5,1047.3,524.8
48504,24811,395.717045454545,820.601136363636,424.884090909091
48532,43112,458.646783625731,930.15730994152,471.510526315789
48439,3e+05,517.203125,1050.67916666667,533.476041666667
48439,31717,517.203125,1050.67916666667,533.476041666667
48439,41683,517.203125,1050.67916666667,533.476041666667
48529,39739,422.8,879.1,456.4
48509,59350,446.5,935.1,488.6
48423,3e+05,508.830662983425,1029.21022099448,520.37955801105
48423,44881,508.830662983425,1029.21022099448,520.37955801105
49707,41767,495.131182795699,1005.34050179211,510.209318996416
48423,3e+05,508.830662983425,1029.21022099448,520.37955801105
48532,47758,458.646783625731,930.15730994152,471.510526315789
48506,50276,475.6,964.7,489.1
48505,26202,369.521951219512,754.024390243902,384.50243902439
48463,33737,468.8,948.9,480.1
48473,57533,388.3,804.8,416.6
48507,3e+05,438.618235294118,905.52,466.910588235294
48451,61951,496.263492063492,1014.25317460317,517.989682539683
48451,58598,496.263492063492,1014.25317460317,517.989682539683
48430,84498,505.4,1043.8,538.5
48507,23553,438.618235294118,905.52,466.910588235294
48439,43525,517.203125,1050.67916666667,533.476041666667
48624,40366,503.3,1017.8,514.6
49968,45607,474.7,969.3,494.7
49911,37334,514.9,1005.7,490.9
49686,68227,530.575543478261,1074.0902173913,543.514673913043
49684,68678,534.7,1063.3,528.6
49686,67760,530.575543478261,1074.0902173913,543.514673913043
49686,36841,530.575543478261,1074.0902173913,543.514673913043
